question_id,axis,level,n_images,n_excluded_unusable_confidence,rho_pooled,rho_pooled_ci_lo,rho_pooled_ci_hi,rho_pooled_ci_method,rho_0_20_bin,rho_0_20_bin_ci_lo,rho_0_20_bin_ci_hi,rho_0_20_bin_ci_method,n_0_20_bin,direction_claimed,descriptive_uncorrected,note
Q5,model,Gemma-3-12B,1155,59,0.5411527424712937,0.49466481966615694,0.5841420769414841,BCa,0.4836527247700305,0.4233777900305054,0.5362501961673559,BCa,933,True,True,"the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; per-image mean confidence averages an ordinal score, which is defensible within one model's own scale, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,model,Gemma-3-27B,1155,0,-0.27990887056677216,-0.3345948169282,-0.22169174767412017,BCa,-0.34624615889217386,-0.40513087266930103,-0.28364041353620606,BCa,933,True,True,"the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; per-image mean confidence averages an ordinal score, which is defensible within one model's own scale, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,model,Llama-4-Maverick,1155,1,-0.7213071657666681,-0.7535323117600048,-0.685798089675679,BCa,-0.7805832043934481,-0.8062699303700507,-0.7495753158207047,BCa,933,True,True,"the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; per-image mean confidence averages an ordinal score, which is defensible within one model's own scale, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,model,Llama-4-Scout,1155,44,-0.5972035586710681,-0.6419780940697898,-0.5505659758377265,BCa,-0.7156013679258262,-0.7516352220026067,-0.6745327081080814,BCa,933,True,True,"the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; per-image mean confidence averages an ordinal score, which is defensible within one model's own scale, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,model,Mistral-Small-3.2,1155,5,-0.21860601424941642,-0.27560340526975974,-0.15898369838797205,BCa,-0.4003588728896038,-0.4506244075091067,-0.3471160950083602,BCa,933,True,True,"the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; per-image mean confidence averages an ordinal score, which is defensible within one model's own scale, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,model,Qwen-2.5,1155,0,-0.4767679917244982,-0.5269722399859623,-0.42383345253052107,BCa,-0.5799566191441632,-0.6282103521671633,-0.5276293814928413,BCa,933,True,True,"the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; per-image mean confidence averages an ordinal score, which is defensible within one model's own scale, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,prompt,Detailed,1155,20,-0.4880941974687389,-0.5325103501129511,-0.4386494455137333,BCa,-0.5198755052094389,-0.5665714182260398,-0.4685463374031325,BCa,933,True,True,"the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; per-image mean confidence averages an ordinal score, which is defensible within one model's own scale, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,prompt,Grid-Overlay,1155,18,-0.4688858044568253,-0.5169360954119305,-0.4171159528532945,BCa,-0.5272840421565677,-0.5773456075050079,-0.4738585064027287,BCa,933,True,True,"the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; per-image mean confidence averages an ordinal score, which is defensible within one model's own scale, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,prompt,Point-Hint,1155,71,-0.31279993519609905,-0.37060740826471794,-0.2537266777598907,BCa,-0.4495256441218605,-0.5036885480834302,-0.39060272069451285,BCa,933,True,True,"the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; per-image mean confidence averages an ordinal score, which is defensible within one model's own scale, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,prompt,Short,1155,0,-0.5719413660889133,-0.6154992360651789,-0.5265019358256948,BCa,-0.668347507792723,-0.7086132401883504,-0.6251854886596283,BCa,933,True,True,"the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; per-image mean confidence averages an ordinal score, which is defensible within one model's own scale, and no comparison of raw confidence values between models is made anywhere in this notebook"
