question_id,axis,level,confidence_level,tpr,fpr,n_at_level,n_positives,n_negatives,descriptive_uncorrected,note
Q5,model,Gemma-3-12B,0.6,0.00390625,0.12585199610516065,519,512,4108,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Gemma-3-12B,0.7,0.025390625,0.33349561830574487,864,512,4108,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Gemma-3-12B,0.75,0.490234375,0.5511197663096398,1132,512,4108,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Gemma-3-12B,0.8,0.69140625,0.7784810126582279,1037,512,4108,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Gemma-3-12B,0.85,1.0,0.9795520934761441,984,512,4108,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Gemma-3-12B,0.95,1.0,0.9810126582278481,6,512,4108,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Gemma-3-12B,1.0,1.0,0.9856377799415774,19,512,4108,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Gemma-3-27B,0.7,0.0,0.0007244626901714562,3,479,4141,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Gemma-3-27B,0.75,0.0020876826722338203,0.016662641873943493,67,479,4141,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Gemma-3-27B,0.8,0.32150313152400833,0.30668920550591644,1354,479,4141,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Gemma-3-27B,0.85,0.9624217118997912,0.7302583916928278,2061,479,4141,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Gemma-3-27B,0.9,1.0,0.9565322385897126,955,479,4141,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Gemma-3-27B,0.95,1.0,0.9961361989857522,164,479,4141,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Gemma-3-27B,1.0,1.0,1.0,16,479,4141,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Llama-4-Maverick,0.5,0.002932551319648094,0.00023369946249123628,2,341,4279,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Llama-4-Maverick,0.6,0.002932551319648094,0.00046739892498247256,1,341,4279,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Llama-4-Maverick,0.7,0.020527859237536656,0.003972890862351017,21,341,4279,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Llama-4-Maverick,0.75,0.020527859237536656,0.004440289787333489,2,341,4279,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Llama-4-Maverick,0.8,0.7126099706744868,0.4580509464828231,2177,341,4279,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Llama-4-Maverick,0.85,0.7272727272727273,0.46272493573264784,25,341,4279,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Llama-4-Maverick,0.9,0.8387096774193549,0.596401028277635,610,341,4279,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Llama-4-Maverick,0.95,0.9501466275659824,0.698293993923814,474,341,4279,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Llama-4-Maverick,0.99,0.9501466275659824,0.6989950923112876,3,341,4279,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Llama-4-Maverick,1.0,1.0,0.9997663005375088,1304,341,4279,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Llama-4-Scout,0.0,0.0,0.00023854961832061068,1,428,4192,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Llama-4-Scout,0.1,0.0,0.0007156488549618321,2,428,4192,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Llama-4-Scout,0.5,0.018691588785046728,0.036736641221374045,159,428,4192,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Llama-4-Scout,0.6,0.018691588785046728,0.03721374045801527,2,428,4192,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Llama-4-Scout,0.7,0.0630841121495327,0.07084923664122138,160,428,4192,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Llama-4-Scout,0.75,0.06775700934579439,0.07108778625954199,3,428,4192,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Llama-4-Scout,0.8,0.6565420560747663,0.5379293893129771,2209,428,4192,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
Q5,model,Llama-4-Scout,0.85,0.6658878504672897,0.5434160305343512,27,428,4192,True,"pooled over the four prompts of the same 1,155 images; this curve describes the level as a whole and is not a paired comparison against any other level"
