question_id,model,prompt,feature,feature_label,pct_lower_confidence,ci_lo,ci_hi,ci_method,n_with_feature,n_without_material,restricted_to_0_20_bin,clearly_above_50,clearly_below_50,multiplicity_note
Q5,Gemma-3-12B,Detailed,rooted_off,"rooted dead look-alike, counted off",33.255791344925285,30.78701774020343,36.67577922270469,BCa,94,766.0,False,False,True,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Detailed,rooted_in,"rooted dead look-alike, counted in",33.27211576757977,31.149445788658053,35.53506708307457,BCa,295,766.0,False,False,True,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Detailed,nonrooted_scattered,"non-rooted material, scattered",45.08518663025101,41.846238959591716,48.61247847430036,BCa,220,699.0,False,False,True,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Detailed,nonrooted_spread,"non-rooted material, spread",34.77728474091317,32.55216308183398,37.20739641666131,BCa,236,699.0,False,False,True,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Detailed,obliquity_all,"obliquity, all images",44.995460922670624,43.58434054987476,46.385900211279534,BCa,1155,,False,False,True,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Detailed,obliquity_0_20_bin,"obliquity, 0-20% bin only",46.38516668276684,44.67099535837433,48.0734340402684,BCa,933,,True,False,True,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Grid-Overlay,rooted_off,"rooted dead look-alike, counted off",30.38561364479051,26.07691328917845,35.12555320385314,BCa,93,754.0,False,False,True,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Grid-Overlay,rooted_in,"rooted dead look-alike, counted in",25.961426066627702,23.181963794499428,28.88381122502275,BCa,295,754.0,False,False,True,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Grid-Overlay,nonrooted_scattered,"non-rooted material, scattered",47.123354137172406,43.2887760389831,51.093594501491694,BCa,219,687.0,False,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Grid-Overlay,nonrooted_spread,"non-rooted material, spread",33.30033552907508,30.026016775463024,36.72977141648689,BCa,236,687.0,False,False,True,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Grid-Overlay,obliquity_all,"obliquity, all images",44.71436399385429,42.85888077732877,46.58322597301002,BCa,1142,,False,False,True,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Grid-Overlay,obliquity_0_20_bin,"obliquity, 0-20% bin only",48.90535553768274,46.88764250471305,50.9556109119081,BCa,920,,True,False,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Point-Hint,rooted_off,"rooted dead look-alike, counted off",28.999293722962832,24.456093845475483,34.09464266695967,BCa,94,723.0,False,False,True,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Point-Hint,rooted_in,"rooted dead look-alike, counted in",23.277724094810438,20.521502653979503,26.342633159803643,BCa,292,723.0,False,False,True,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Point-Hint,nonrooted_scattered,"non-rooted material, scattered",45.66219407015708,41.52512438568356,49.76790319181073,BCa,214,661.0,False,False,True,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Point-Hint,nonrooted_spread,"non-rooted material, spread",29.869273439621395,26.52790365097698,33.42927824418898,BCa,234,661.0,False,False,True,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Point-Hint,obliquity_all,"obliquity, all images",44.7553329665715,42.93305101829034,46.67596414863421,BCa,1109,,False,False,True,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Point-Hint,obliquity_0_20_bin,"obliquity, 0-20% bin only",49.28004458684637,47.147940828358145,51.342721669288125,BCa,887,,True,False,False,"24-cell interval verdicts, not corrected for multiplicity"
