model,prompt,auc,ci_lo,ci_hi,ci_method,n_pos,n_neg,n_tied_values,n_used,n_excluded_unusable_confidence,unstable_low_positives,k8_degenerate,k8_n_levels,k8_max_single_level_mass,k8_degenerate_pooled_by_model,question_id,stream_note,row_type,spearman_rho
Gemma-3-12B,Detailed,0.3545139967553761,0.338995793931786,0.3759570549969903,BCa,111.0,1044.0,1154.0,1155,0.0,False,False,5.0,0.7203463203463204,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Gemma-3-12B,Grid-Overlay,0.2014767716131679,0.1779249083299508,0.22729769470881828,BCa,147.0,995.0,1142.0,1142,13.0,False,False,5.0,0.3476357267950963,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Gemma-3-12B,Point-Hint,0.19952025859857359,0.17447802075191277,0.23152419728543738,BCa,118.0,991.0,1108.0,1109,46.0,False,False,6.0,0.3606853020739405,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Gemma-3-12B,Short,0.41334273866016846,0.36570892468382404,0.4613332710305701,BCa,138.0,1017.0,1154.0,1155,0.0,False,False,7.0,0.4649350649350649,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Gemma-3-27B,Detailed,0.7978053822584813,0.7568871295578724,0.8292920800787456,BCa,103.0,1052.0,1155.0,1155,0.0,False,False,4.0,0.6216450216450217,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Gemma-3-27B,Grid-Overlay,0.5380556313062449,0.5031460216540354,0.5739655046206534,BCa,190.0,965.0,1155.0,1155,0.0,False,False,5.0,0.6164502164502165,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Gemma-3-27B,Point-Hint,0.43964126169891127,0.4013028350006503,0.4732639668935503,BCa,113.0,1042.0,1154.0,1155,0.0,False,False,5.0,0.8294372294372294,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Gemma-3-27B,Short,0.602415735817765,0.5877986258127968,0.6227767031281058,BCa,76.0,1079.0,1155.0,1155,0.0,False,False,5.0,0.7619047619047619,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Llama-4-Maverick,Detailed,0.6184710629029193,0.5719874415738824,0.6622949198532965,BCa,134.0,1021.0,1153.0,1155,0.0,False,False,8.0,0.33506493506493507,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
Llama-4-Maverick,Grid-Overlay,0.7366535692438003,0.7014392855878887,0.7663493738061333,BCa,79.0,1076.0,1155.0,1155,0.0,False,False,6.0,0.42943722943722945,False,Q5,"24-cell model x prompt sub-analysis, pre-declared; reported with CI and no p-value by design, so it informs the family-G headline without inflating it. The 15 between-model comparisons are not planned and are not computed here.",auc_by_model_x_prompt,
