question_id,model,prompt,n_usable,n_excluded_unusable_confidence,n_total,n_distinct_values,max_single_level_mass,degenerate_k8
Q5,Gemma-3-12B,Detailed,1155,0,1155,5,0.7203463203463204,False
Q5,Gemma-3-12B,Grid-Overlay,1142,13,1155,5,0.3476357267950963,False
Q5,Gemma-3-12B,Point-Hint,1109,46,1155,6,0.3606853020739405,False
Q5,Gemma-3-12B,Short,1155,0,1155,7,0.4649350649350649,False
Q5,Gemma-3-27B,Detailed,1155,0,1155,4,0.6216450216450217,False
Q5,Gemma-3-27B,Grid-Overlay,1155,0,1155,5,0.6164502164502165,False
Q5,Gemma-3-27B,Point-Hint,1155,0,1155,5,0.8294372294372294,False
Q5,Gemma-3-27B,Short,1155,0,1155,5,0.7619047619047619,False
Q5,Llama-4-Maverick,Detailed,1155,0,1155,8,0.33506493506493507,False
Q5,Llama-4-Maverick,Grid-Overlay,1155,0,1155,6,0.42943722943722945,False
Q5,Llama-4-Maverick,Point-Hint,1154,1,1155,9,0.5797227036395147,False
Q5,Llama-4-Maverick,Short,1155,0,1155,5,0.5731601731601732,False
Q5,Llama-4-Scout,Detailed,1135,20,1155,8,0.4193832599118943,False
Q5,Llama-4-Scout,Grid-Overlay,1155,0,1155,7,0.3852813852813853,False
Q5,Llama-4-Scout,Point-Hint,1131,24,1155,10,0.48983200707338637,False
Q5,Llama-4-Scout,Short,1155,0,1155,3,0.6354978354978355,False
Q5,Mistral-Small-3.2,Detailed,1155,0,1155,7,0.9316017316017317,True
Q5,Mistral-Small-3.2,Grid-Overlay,1150,5,1155,3,0.8530434782608696,False
Q5,Mistral-Small-3.2,Point-Hint,1155,0,1155,6,0.587012987012987,False
Q5,Mistral-Small-3.2,Short,1155,0,1155,6,0.8813852813852814,False
Q5,Qwen-2.5,Detailed,1155,0,1155,5,0.6917748917748918,False
Q5,Qwen-2.5,Grid-Overlay,1155,0,1155,5,0.7826839826839826,False
Q5,Qwen-2.5,Point-Hint,1155,0,1155,5,0.44155844155844154,False
Q5,Qwen-2.5,Short,1155,0,1155,4,0.44242424242424244,False
