question_id,axis,level,feature,feature_label,pct_lower_confidence,ci_lo,ci_hi,ci_method,n_with_feature,n_without_material,restricted_to_0_20_bin,clearly_above_50,clearly_below_50,descriptive_uncorrected,multiplicity_note,note
Q5,model,Gemma-3-12B,rooted_off,"rooted dead look-alike, counted off",28.18385089717238,23.878062558124434,33.01331450329888,BCa,94,766.0,False,False,True,True,"24-cell interval verdicts, not corrected for multiplicity","the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; the unit is the image, one row per image collapsed from the level's usable-confidence responses, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,model,Gemma-3-12B,rooted_in,"rooted dead look-alike, counted in",23.230296056998718,20.453887800179775,26.26641448115189,BCa,295,766.0,False,False,True,True,"24-cell interval verdicts, not corrected for multiplicity","the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; the unit is the image, one row per image collapsed from the level's usable-confidence responses, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,model,Gemma-3-12B,nonrooted_scattered,"non-rooted material, scattered",48.14572766289504,44.04548824828251,52.239716451267164,BCa,220,699.0,False,False,False,True,"24-cell interval verdicts, not corrected for multiplicity","the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; the unit is the image, one row per image collapsed from the level's usable-confidence responses, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,model,Gemma-3-12B,nonrooted_spread,"non-rooted material, spread",32.532552556921516,29.23480414066759,36.192214423306446,BCa,236,699.0,False,False,True,True,"24-cell interval verdicts, not corrected for multiplicity","the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; the unit is the image, one row per image collapsed from the level's usable-confidence responses, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,model,Gemma-3-12B,obliquity_all,"obliquity, all images",43.92266312543609,41.98968496689075,45.920628685518466,BCa,1155,,False,False,True,True,"24-cell interval verdicts, not corrected for multiplicity","the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; the unit is the image, one row per image collapsed from the level's usable-confidence responses, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,model,Gemma-3-12B,obliquity_0_20_bin,"obliquity, 0-20% bin only",49.21707170096003,47.077441361831795,51.362374718220885,BCa,933,,True,False,False,True,"24-cell interval verdicts, not corrected for multiplicity","the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; the unit is the image, one row per image collapsed from the level's usable-confidence responses, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,model,Gemma-3-27B,rooted_off,"rooted dead look-alike, counted off",63.85131381589911,58.80178714063209,68.63914993457152,BCa,94,766.0,False,True,False,True,"24-cell interval verdicts, not corrected for multiplicity","the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; the unit is the image, one row per image collapsed from the level's usable-confidence responses, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,model,Gemma-3-27B,rooted_in,"rooted dead look-alike, counted in",65.3845643226977,62.21098347515208,68.43629255765242,BCa,295,766.0,False,True,False,True,"24-cell interval verdicts, not corrected for multiplicity","the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; the unit is the image, one row per image collapsed from the level's usable-confidence responses, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,model,Gemma-3-27B,nonrooted_scattered,"non-rooted material, scattered",57.69931070360255,53.7798544479315,61.596530303189,BCa,220,699.0,False,True,False,True,"24-cell interval verdicts, not corrected for multiplicity","the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; the unit is the image, one row per image collapsed from the level's usable-confidence responses, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,model,Gemma-3-27B,nonrooted_spread,"non-rooted material, spread",65.14785044009602,61.69057327092959,68.54268579132014,BCa,236,699.0,False,True,False,True,"24-cell interval verdicts, not corrected for multiplicity","the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; the unit is the image, one row per image collapsed from the level's usable-confidence responses, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,model,Gemma-3-27B,obliquity_all,"obliquity, all images",53.337459767269124,51.49081895633501,55.30956678778211,BCa,1155,,False,True,False,True,"24-cell interval verdicts, not corrected for multiplicity","the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; the unit is the image, one row per image collapsed from the level's usable-confidence responses, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,model,Gemma-3-27B,obliquity_0_20_bin,"obliquity, 0-20% bin only",51.750663557033704,49.571944742177614,53.885737814283324,BCa,933,,True,False,False,True,"24-cell interval verdicts, not corrected for multiplicity","the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; the unit is the image, one row per image collapsed from the level's usable-confidence responses, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,model,Llama-4-Maverick,rooted_off,"rooted dead look-alike, counted off",73.70979390033887,69.22140966090957,77.56897514479168,BCa,94,766.0,False,True,False,True,"24-cell interval verdicts, not corrected for multiplicity","the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; the unit is the image, one row per image collapsed from the level's usable-confidence responses, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,model,Llama-4-Maverick,rooted_in,"rooted dead look-alike, counted in",75.1294419613223,72.16836872352201,77.75748611948022,BCa,295,766.0,False,True,False,True,"24-cell interval verdicts, not corrected for multiplicity","the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; the unit is the image, one row per image collapsed from the level's usable-confidence responses, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,model,Llama-4-Maverick,nonrooted_scattered,"non-rooted material, scattered",53.1379243074522,48.88828710357671,57.146456568013406,BCa,220,699.0,False,False,False,True,"24-cell interval verdicts, not corrected for multiplicity","the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; the unit is the image, one row per image collapsed from the level's usable-confidence responses, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,model,Llama-4-Maverick,nonrooted_spread,"non-rooted material, spread",69.4572755267816,65.98378293922786,72.87018521333356,BCa,236,699.0,False,True,False,True,"24-cell interval verdicts, not corrected for multiplicity","the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; the unit is the image, one row per image collapsed from the level's usable-confidence responses, and no comparison of raw confidence values between models is made anywhere in this notebook"
Q5,model,Llama-4-Maverick,obliquity_all,"obliquity, all images",54.97482875299167,53.09105834093619,56.758324190598465,BCa,1155,,False,True,False,True,"24-cell interval verdicts, not corrected for multiplicity","the six model rows are six views of the same 1,155 images, and the four prompt rows are likewise four views of the same 1,155 images, so a difference between two levels of either axis is not a test and no interval here supports one; the unit is the image, one row per image collapsed from the level's usable-confidence responses, and no comparison of raw confidence values between models is made anywhere in this notebook"
