question_id,model,prompt,balanced_mae,prob_best,D_hat,se_hat,mcb_lower_bound,in_mcb_topset,in_mcs_topset,in_union_topset,topset_implementations_disagree,mcb_critical_value,is_observed_best,selection_conditioned
Q1,Llama-4-Maverick,Short,11.209051674497456,0.5148,-0.1668283962698922,0.4685387926823819,-1.6169617721305543,True,True,True,False,3.095012405608203,True,True
Q1,Llama-4-Maverick,Point-Hint,11.375880070767348,0.2477,0.1668283962698922,0.4201686743834005,-1.1335988633946859,True,True,True,False,3.095012405608203,False,True
Q1,Qwen-2.5,Grid-Overlay,11.749014966389051,0.1243,0.5399632918915955,0.6049226263214567,-1.3322797410064082,True,True,True,False,3.095012405608203,False,True
Q1,Llama-4-Maverick,Grid-Overlay,11.815106900443086,0.057,0.6060552259456298,0.5031481392665509,-0.951194506943029,True,True,True,False,3.095012405608203,False,True
Q1,Qwen-2.5,Short,12.04652682703232,0.0436,0.8374751525348643,0.615966329604615,-1.0689482790283704,True,True,True,False,3.095012405608203,False,True
Q1,Llama-4-Scout,Short,12.679774494486832,0.0122,1.4707228199893763,0.7675968426135296,-0.9049989304051853,True,True,True,False,3.095012405608203,False,True
Q1,Qwen-2.5,Point-Hint,13.368864097971136,0.0,2.1598124234736797,0.5803050332876586,0.36376114641149515,False,False,False,False,3.095012405608203,False,True
Q1,Llama-4-Scout,Grid-Overlay,13.406936548930926,0.0004,2.19788487443347,0.6947176095156454,0.04772525458807175,False,False,False,False,3.095012405608203,False,True
Q1,Mistral-Small-3.2,Grid-Overlay,13.64709670474554,0.0,2.438045030248084,0.664454113994571,0.38155130447747965,False,False,False,False,3.095012405608203,False,True
Q1,Gemma-3-12B,Short,13.944539776519287,0.0,2.735488102021831,0.7204966282257694,0.5055420994641935,False,False,False,False,3.095012405608203,False,True
Q1,Llama-4-Scout,Point-Hint,13.95716179909519,0.0,2.7481101245977335,0.709583101999882,0.5519416210981478,False,False,False,False,3.095012405608203,False,True
Q1,Mistral-Small-3.2,Point-Hint,14.048447263365551,0.0,2.8393955888680953,0.6930966625360381,0.694252820033415,False,False,False,False,3.095012405608203,False,True
Q1,Gemma-3-12B,Point-Hint,14.264157003877102,0.0,3.0551053293796464,0.6644300976546552,0.9986859344790187,False,False,False,False,3.095012405608203,False,True
Q1,Qwen-2.5,Detailed,14.368528882359367,0.0,3.1594772078619116,0.6816927606978002,1.049629656688916,False,False,False,False,3.095012405608203,False,True
Q1,Gemma-3-27B,Grid-Overlay,14.380937610114099,0.0,3.1718859356166433,0.6094985170141672,1.2854804642579933,False,False,False,False,3.095012405608203,False,True
Q1,Gemma-3-27B,Point-Hint,14.45670723362299,0.0,3.2476555591255334,0.6350166347868426,1.282271196692682,False,False,False,False,3.095012405608203,False,True
Q1,Gemma-3-27B,Short,14.662598190102216,0.0,3.45354651560476,0.7537740948854734,1.1206063409081248,False,False,False,False,3.095012405608203,False,True
Q1,Gemma-3-12B,Grid-Overlay,15.737828512362345,0.0,4.528776837864889,0.6677695634227491,2.462021754983907,False,False,False,False,3.095012405608203,False,True
Q1,Mistral-Small-3.2,Short,15.925771065126506,0.0,4.71671939062905,0.7852642726231178,2.2863167251795984,False,False,False,False,3.095012405608203,False,True
Q1,Mistral-Small-3.2,Detailed,18.560615121069986,0.0,7.351563446572531,0.7361038054018946,5.07331303703826,False,False,False,False,3.095012405608203,False,True
Q1,Gemma-3-12B,Detailed,20.36248762974899,0.0,9.153435955251535,0.978481436417103,6.125023770883267,False,False,False,False,3.095012405608203,False,True
Q1,Gemma-3-27B,Detailed,21.249099771112544,0.0,10.040048096615088,1.0821490567319811,6.690783341312391,False,False,False,False,3.095012405608203,False,True
Q1,Llama-4-Maverick,Detailed,30.03869191323369,0.0,18.829640238736236,1.4597193635104753,14.311790699964805,False,False,False,False,3.095012405608203,False,True
Q1,Llama-4-Scout,Detailed,32.02873673963868,0.0,20.819685065141226,1.6309904404297182,15.77174941858286,False,False,False,False,3.095012405608203,False,True
