question_id,repeat,fold,n_train_images,n_bin_0-20,n_bin_20-40,n_bin_40-60,n_bin_60-80,n_bin_80-100
Q2,0,0,922,746,86,36,30,24
Q2,0,1,923,746,86,37,30,24
Q2,0,2,923,746,86,37,30,24
Q2,0,3,926,747,87,37,31,24
Q2,0,4,926,747,87,37,31,24
Q2,1,0,922,746,86,36,30,24
Q2,1,1,923,746,86,37,30,24
Q2,1,2,923,746,86,37,30,24
Q2,1,3,926,747,87,37,31,24
Q2,1,4,926,747,87,37,31,24
Q2,2,0,922,746,86,36,30,24
Q2,2,1,923,746,86,37,30,24
Q2,2,2,923,746,86,37,30,24
Q2,2,3,926,747,87,37,31,24
Q2,2,4,926,747,87,37,31,24
Q2,3,0,922,746,86,36,30,24
Q2,3,1,923,746,86,37,30,24
Q2,3,2,923,746,86,37,30,24
Q2,3,3,926,747,87,37,31,24
Q2,3,4,926,747,87,37,31,24
Q2,4,0,922,746,86,36,30,24
Q2,4,1,923,746,86,37,30,24
Q2,4,2,923,746,86,37,30,24
Q2,4,3,926,747,87,37,31,24
Q2,4,4,926,747,87,37,31,24
Q2,5,0,922,746,86,36,30,24
Q2,5,1,923,746,86,37,30,24
Q2,5,2,923,746,86,37,30,24
Q2,5,3,926,747,87,37,31,24
Q2,5,4,926,747,87,37,31,24
Q2,6,0,922,746,86,36,30,24
Q2,6,1,923,746,86,37,30,24
Q2,6,2,923,746,86,37,30,24
Q2,6,3,926,747,87,37,31,24
Q2,6,4,926,747,87,37,31,24
Q2,7,0,922,746,86,36,30,24
Q2,7,1,923,746,86,37,30,24
Q2,7,2,923,746,86,37,30,24
Q2,7,3,926,747,87,37,31,24
Q2,7,4,926,747,87,37,31,24
Q2,8,0,922,746,86,36,30,24
Q2,8,1,923,746,86,37,30,24
Q2,8,2,923,746,86,37,30,24
Q2,8,3,926,747,87,37,31,24
Q2,8,4,926,747,87,37,31,24
Q2,9,0,922,746,86,36,30,24
Q2,9,1,923,746,86,37,30,24
Q2,9,2,923,746,86,37,30,24
Q2,9,3,926,747,87,37,31,24
Q2,9,4,926,747,87,37,31,24
Q2,10,0,922,746,86,36,30,24
Q2,10,1,923,746,86,37,30,24
